"filename", "language", "C++", "Markdown", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILL.README.md", "Markdown", 0, 103, 0, 51, 154
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILLS.cpp", "C++", 0, 0, 2, 2, 4
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_DRILL_README.md", "Markdown", 0, -69, 0, -28, -97
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.README.md", "Markdown", 0, 27, 0, 27, 54
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.cpp", "C++", 57, 0, 19, 18, 94
"Total", "-", 57, 61, 21, 70, 209
