"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\CALCULATOR\README.md", "Markdown", 30, 0, 0, 31, 61
"c:\Users\Jerem\projects\C-INTRO\CALCULATOR\SCIENTIFIC_CALCULATOR.cpp", "C++", 0, 144, 34, 54, 232
"c:\Users\Jerem\projects\C-INTRO\SAVED_LOGIC\DATA_STRUCUTRE.cpp", "C++", 0, 0, 1, 4, 5
"c:\Users\Jerem\projects\C-INTRO\TEXTBOOK\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.README.md", "Markdown", 1, 0, 0, 3, 4
"c:\Users\Jerem\projects\C-INTRO\TEXTBOOK\CHP_3_C++_TEXT_BOOK\CHP_3_EXERCISES.cpp", "C++", 0, 2, 0, 2, 4
"Total", "-", 31, 146, 35, 94, 306
