"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\CHP_3_NOTES.cpp", "C++", 0, 28, 4, 7, 39
"c:\Users\Jerem\projects\C-INTRO\CHP_3_C++\NOTES_ON_PHONE.README.md", "Markdown", 36, 0, 0, 40, 76
"Total", "-", 36, 28, 4, 47, 115
